Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\XRF Scan 2 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:51:36 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
479,9.56,3
480,9.58,2
481,9.6,5
482,9.62,3
483,9.64,2
484,9.66,5
485,9.68,6
486,9.7,4
487,9.72,2
488,9.74,2
489,9.76,4
490,9.78,2
491,9.8,2
492,9.82,2
493,9.84,3
494,9.86,0
495,9.88,4
496,9.9,4
497,9.92,3
498,9.94,3
499,9.96,8
500,9.98,4
501,10,1
502,10.02,4
503,10.04,5
504,10.06,2
505,10.08,1
506,10.1,5
507,10.12,2
508,10.14,6
509,10.16,9
510,10.18,4
511,10.2,4
512,10.22,10
513,10.24,4
514,10.26,12
515,10.28,21
516,10.3,21
517,10.32,37
518,10.34,54
519,10.36,65
520,10.38,82
521,10.4,134
522,10.42,170
523,10.44,194
524,10.46,223
525,10.48,307
526,10.5,307
527,10.52,312
528,10.54,289
529,10.56,365
530,10.58,308
531,10.6,326
532,10.62,233
533,10.64,221
534,10.66,221
535,10.68,149
536,10.7,92
537,10.72,87
538,10.74,62
539,10.76,47
540,10.78,23
541,10.8,21
542,10.82,16
543,10.84,12
544,10.86,16
545,10.88,7
546,10.9,7
547,10.92,8
548,10.94,7
549,10.96,16
550,10.98,19
551,11,29
552,11.02,43
553,11.04,33
554,11.06,48
555,11.08,83
556,11.1,92
557,11.12,120
558,11.14,137
559,11.16,160
560,11.18,165
561,11.2,170
562,11.22,158
563,11.24,158
564,11.26,151
565,11.28,136
566,11.3,133
567,11.32,133
568,11.34,82
569,11.36,84
570,11.38,59
571,11.4,40
572,11.42,35
573,11.44,17
574,11.46,22
575,11.48,12
576,11.5,6
577,11.52,7
578,11.54,8
579,11.56,3
580,11.58,5
581,11.6,4
582,11.62,7
583,11.64,11
584,11.66,5
585,11.68,7
586,11.7,4
587,11.72,6
588,11.74,6
589,11.76,7
590,11.78,5
591,11.8,7
592,11.82,4
593,11.84,6
594,11.86,4
595,11.88,3
596,11.9,6
597,11.92,5
598,11.94,2
599,11.96,9
600,11.98,4
601,12,7
602,12.02,8
603,12.04,14
604,12.06,9
605,12.08,11
606,12.1,12
607,12.12,7
608,12.14,18
609,12.16,15
610,12.18,12
611,12.2,19
612,12.22,27
613,12.24,25
614,12.26,30
615,12.28,36
616,12.3,38
617,12.32,24
618,12.34,45
619,12.36,43
620,12.38,55
621,12.4,58
622,12.42,96
623,12.44,119
624,12.46,119
625,12.48,170
626,12.5,160
627,12.52,236
628,12.54,223
629,12.56,301
630,12.58,284
631,12.6,250
632,12.62,278
633,12.64,283
634,12.66,284
635,12.68,258
636,12.7,229
637,12.72,185
638,12.74,143
639,12.76,132
640,12.78,129
641,12.8,83
642,12.82,80
643,12.84,65
644,12.86,41
645,12.88,34
646,12.9,36
647,12.92,30
648,12.94,27
649,12.96,22
650,12.98,26
651,13,15
652,13.02,21
653,13.04,11
654,13.06,17
655,13.08,15
656,13.1,17
657,13.12,11
658,13.14,7
659,13.16,14
660,13.18,10
661,13.2,13
662,13.22,3
663,13.24,5
664,13.26,5
665,13.28,6
666,13.3,6
667,13.32,4
668,13.34,3
669,13.36,5
670,13.38,6
671,13.4,4
672,13.42,5
673,13.44,3
674,13.46,6
675,13.48,5
676,13.5,0
677,13.52,5
678,13.54,1
679,13.56,6
680,13.58,3
681,13.6,5
682,13.62,2
683,13.64,6
684,13.66,6
685,13.68,5
686,13.7,8
687,13.72,4
688,13.74,4
689,13.76,5
690,13.78,5
691,13.8,4
692,13.82,4
693,13.84,1
694,13.86,7
695,13.88,3
696,13.9,3
697,13.92,8
698,13.94,6
699,13.96,6
700,13.98,5
701,14,5
702,14.02,8
703,14.04,4
704,14.06,5
705,14.08,3
706,14.1,6
707,14.12,4
708,14.14,2
709,14.16,10
710,14.18,3
711,14.2,9
712,14.22,5
713,14.24,9
714,14.26,4
715,14.28,9
716,14.3,6
717,14.32,9
718,14.34,6
719,14.36,4
720,14.38,9
721,14.4,11
722,14.42,4
723,14.44,8
724,14.46,6
725,14.48,8
726,14.5,10
727,14.52,9
728,14.54,17
729,14.56,8
730,14.58,23
731,14.6,16
732,14.62,30
733,14.64,44
734,14.66,25
735,14.68,36
736,14.7,37
737,14.72,46
738,14.74,48
739,14.76,49
740,14.78,51
741,14.8,45
742,14.82,38
743,14.84,46
744,14.86,36
745,14.88,35
746,14.9,33
747,14.92,21
748,14.94,23
749,14.96,20
750,14.98,14
751,15,18
752,15.02,18
753,15.04,20
754,15.06,18
755,15.08,20
756,15.1,25
757,15.12,18
758,15.14,15
759,15.16,21
760,15.18,20
761,15.2,20
762,15.22,15
763,15.24,21
764,15.26,21
765,15.28,12
766,15.3,11
767,15.32,12
768,15.34,9
769,15.36,9
770,15.38,10
771,15.4,11
772,15.42,7
773,15.44,9
774,15.46,11
775,15.48,5
776,15.5,6
777,15.52,5
778,15.54,6
779,15.56,9
780,15.58,2
781,15.6,10
782,15.62,12
783,15.64,1
784,15.66,11
785,15.68,7
786,15.7,8
787,15.72,7
788,15.74,16
789,15.76,11
790,15.78,7
791,15.8,15
792,15.82,14
793,15.84,11
794,15.86,26
795,15.88,27
796,15.9,33
797,15.92,27
798,15.94,33
799,15.96,37
800,15.98,47
801,16,72
802,16.02,45
803,16.04,66
804,16.06,85
805,16.08,78
806,16.1,79
807,16.12,71
808,16.14,75
809,16.16,70
810,16.18,51
811,16.2,50
812,16.22,49
813,16.24,33
814,16.26,32
815,16.28,25
816,16.3,13
817,16.32,17
818,16.34,15
819,16.36,13
820,16.38,8
821,16.4,12
822,16.42,5
823,16.44,7
824,16.46,6
825,16.48,6
826,16.5,6
827,16.52,5
828,16.54,5
829,16.56,3
830,16.58,11
831,16.6,9
832,16.62,5
833,16.64,6
834,16.66,4
835,16.68,7
836,16.7,6
837,16.72,8
838,16.74,12
839,16.76,15
840,16.78,16
841,16.8,16
842,16.82,19
843,16.84,26
844,16.86,29
845,16.88,26
846,16.9,26
847,16.92,36
848,16.94,29
849,16.96,29
850,16.98,29
851,17,27
852,17.02,29
853,17.04,24
854,17.06,16
855,17.08,24
856,17.1,25
857,17.12,13
858,17.14,10
859,17.16,13
860,17.18,7
861,17.2,9
862,17.22,5
863,17.24,7
864,17.26,6
865,17.28,8
866,17.3,4
867,17.32,11
868,17.34,4
869,17.36,7
870,17.38,11
871,17.4,6
872,17.42,6
873,17.44,4
874,17.46,5
875,17.48,4
876,17.5,6
877,17.52,5
878,17.54,9
879,17.56,7
880,17.58,4
881,17.6,10
882,17.62,10
883,17.64,6
884,17.66,12
885,17.68,8
886,17.7,8
887,17.72,10
888,17.74,6
889,17.76,12
890,17.78,8
891,17.8,11
892,17.82,12
893,17.84,16
894,17.86,13
895,17.88,12
896,17.9,12
897,17.92,7
898,17.94,9
899,17.96,7
900,17.98,9
901,18,12
902,18.02,7
903,18.04,6
904,18.06,4
905,18.08,8
906,18.1,9
907,18.12,5
908,18.14,10
909,18.16,5
910,18.18,2
911,18.2,8
912,18.22,4
913,18.24,14
914,18.26,10
915,18.28,8
916,18.3,9
917,18.32,8
918,18.34,5
919,18.36,5
920,18.38,8
921,18.4,11
922,18.42,20
923,18.44,7
924,18.46,18
925,18.48,9
926,18.5,12
927,18.52,20
928,18.54,12
929,18.56,14
930,18.58,13
931,18.6,20
932,18.62,15
933,18.64,15
934,18.66,11
935,18.68,18
936,18.7,18
937,18.72,15
938,18.74,15
939,18.76,12
940,18.78,15
941,18.8,12
942,18.82,18
943,18.84,17
944,18.86,15
945,18.88,12
946,18.9,14
947,18.92,16
948,18.94,23
949,18.96,12
950,18.98,14
951,19,13
952,19.02,17
953,19.04,12
954,19.06,15
955,19.08,23
956,19.1,23
957,19.12,19
958,19.14,12
959,19.16,13
960,19.18,22
961,19.2,13
962,19.22,26
963,19.24,23
964,19.26,17
965,19.28,11
966,19.3,20
967,19.32,17
968,19.34,15
969,19.36,19
970,19.38,15
971,19.4,17
972,19.42,10
973,19.44,18
974,19.46,11
975,19.48,14
976,19.5,14
977,19.52,11
978,19.54,9
979,19.56,18
