Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 3 Tails.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:52:53 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
673,13.44,7
674,13.46,7
675,13.48,3
676,13.5,5
677,13.52,3
678,13.54,7
679,13.56,6
680,13.58,6
681,13.6,1
682,13.62,5
683,13.64,3
684,13.66,6
685,13.68,6
686,13.7,7
687,13.72,8
688,13.74,2
689,13.76,8
690,13.78,5
691,13.8,9
692,13.82,7
693,13.84,6
694,13.86,4
695,13.88,3
696,13.9,10
697,13.92,3
698,13.94,5
699,13.96,4
700,13.98,7
701,14,3
702,14.02,6
703,14.04,6
704,14.06,4
705,14.08,2
706,14.1,4
707,14.12,5
708,14.14,8
709,14.16,6
710,14.18,6
711,14.2,8
712,14.22,8
713,14.24,5
714,14.26,10
715,14.28,8
716,14.3,8
717,14.32,12
718,14.34,12
719,14.36,6
720,14.38,9
721,14.4,3
722,14.42,6
723,14.44,2
724,14.46,7
725,14.48,12
726,14.5,5
727,14.52,12
728,14.54,8
729,14.56,6
730,14.58,10
731,14.6,17
732,14.62,30
733,14.64,22
734,14.66,38
735,14.68,35
736,14.7,33
737,14.72,47
738,14.74,55
739,14.76,44
740,14.78,47
741,14.8,46
742,14.82,42
743,14.84,43
744,14.86,44
745,14.88,27
746,14.9,18
747,14.92,25
748,14.94,24
749,14.96,17
750,14.98,9
751,15,11
752,15.02,9
753,15.04,11
754,15.06,16
755,15.08,16
756,15.1,16
757,15.12,21
758,15.14,15
759,15.16,21
760,15.18,19
761,15.2,23
762,15.22,15
763,15.24,22
764,15.26,16
765,15.28,23
766,15.3,16
767,15.32,10
768,15.34,19
769,15.36,15
770,15.38,11
771,15.4,5
772,15.42,10
773,15.44,4
774,15.46,10
775,15.48,8
776,15.5,6
777,15.52,4
778,15.54,7
779,15.56,6
780,15.58,4
781,15.6,7
782,15.62,3
783,15.64,3
784,15.66,4
785,15.68,12
786,15.7,3
787,15.72,8
788,15.74,8
789,15.76,12
790,15.78,4
791,15.8,10
792,15.82,12
793,15.84,8
794,15.86,18
795,15.88,17
796,15.9,21
797,15.92,27
798,15.94,36
799,15.96,39
800,15.98,41
801,16,53
802,16.02,74
803,16.04,66
804,16.06,77
805,16.08,54
806,16.1,63
807,16.12,56
808,16.14,71
809,16.16,62
810,16.18,39
811,16.2,37
812,16.22,27
813,16.24,34
814,16.26,22
815,16.28,18
816,16.3,18
817,16.32,11
818,16.34,14
819,16.36,13
820,16.38,8
821,16.4,13
822,16.42,8
823,16.44,6
824,16.46,10
825,16.48,4
826,16.5,8
827,16.52,14
828,16.54,11
829,16.56,5
830,16.58,8
831,16.6,6
832,16.62,11
833,16.64,8
834,16.66,9
835,16.68,8
836,16.7,15
837,16.72,14
838,16.74,10
839,16.76,12
840,16.78,12
841,16.8,15
842,16.82,12
843,16.84,16
844,16.86,30
845,16.88,21
846,16.9,11
847,16.92,21
848,16.94,32
849,16.96,29
850,16.98,25
851,17,17
852,17.02,19
853,17.04,16
854,17.06,16
855,17.08,22
856,17.1,18
857,17.12,12
858,17.14,12
859,17.16,14
860,17.18,12
861,17.2,12
862,17.22,10
863,17.24,9
864,17.26,8
865,17.28,6
866,17.3,4
867,17.32,4
868,17.34,5
869,17.36,7
870,17.38,9
871,17.4,3
872,17.42,5
873,17.44,5
874,17.46,2
875,17.48,3
876,17.5,4
877,17.52,6
878,17.54,6
879,17.56,9
880,17.58,3
881,17.6,8
882,17.62,6
883,17.64,11
884,17.66,7
885,17.68,6
886,17.7,8
887,17.72,8
888,17.74,5
889,17.76,8
890,17.78,6
891,17.8,11
892,17.82,10
893,17.84,6
894,17.86,4
895,17.88,16
896,17.9,12
897,17.92,9
898,17.94,8
899,17.96,8
900,17.98,13
901,18,8
902,18.02,9
903,18.04,6
904,18.06,8
905,18.08,8
906,18.1,6
907,18.12,6
908,18.14,10
909,18.16,11
910,18.18,7
911,18.2,11
912,18.22,12
913,18.24,7
914,18.26,0
915,18.28,10
916,18.3,7
917,18.32,9
918,18.34,9
919,18.36,9
920,18.38,13
921,18.4,7
922,18.42,10
923,18.44,22
924,18.46,18
925,18.48,13
926,18.5,18
927,18.52,13
928,18.54,10
929,18.56,11
930,18.58,16
931,18.6,12
932,18.62,10
933,18.64,21
934,18.66,18
935,18.68,19
936,18.7,11
937,18.72,11
938,18.74,14
939,18.76,12
940,18.78,13
941,18.8,17
942,18.82,16
943,18.84,25
944,18.86,15
945,18.88,13
946,18.9,22
947,18.92,19
948,18.94,24
949,18.96,25
950,18.98,17
951,19,22
952,19.02,17
953,19.04,21
954,19.06,19
955,19.08,17
956,19.1,20
957,19.12,19
958,19.14,15
959,19.16,22
960,19.18,18
961,19.2,20
962,19.22,26
963,19.24,19
964,19.26,18
965,19.28,17
966,19.3,14
967,19.32,17
968,19.34,17
969,19.36,21
970,19.38,16
971,19.4,12
972,19.42,13
973,19.44,19
974,19.46,17
975,19.48,19
976,19.5,22
977,19.52,15
978,19.54,13
979,19.56,11
980,19.58,15
981,19.6,10
982,19.62,10
983,19.64,19
984,19.66,11
985,19.68,13
986,19.7,6
987,19.72,12
988,19.74,15
989,19.76,13
990,19.78,14
991,19.8,14
992,19.82,6
993,19.84,12
994,19.86,13
995,19.88,23
996,19.9,13
997,19.92,20
998,19.94,23
999,19.96,25
1000,19.98,25
1001,20,24
1002,20.02,28
1003,20.04,24
1004,20.06,43
1005,20.08,44
1006,20.1,44
1007,20.12,49
1008,20.14,32
