Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 1 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:31:55 AM
TotalElapsedTimeInSeconds,182
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
979,19.56,63
980,19.58,82
981,19.6,94
982,19.62,78
983,19.64,84
984,19.66,94
985,19.68,100
986,19.7,78
987,19.72,99
988,19.74,81
989,19.76,77
990,19.78,97
991,19.8,87
992,19.82,100
993,19.84,102
994,19.86,86
995,19.88,119
996,19.9,131
997,19.92,121
998,19.94,127
999,19.96,133
1000,19.98,151
1001,20,157
1002,20.02,214
1003,20.04,206
1004,20.06,248
1005,20.08,248
1006,20.1,251
1007,20.12,237
1008,20.14,255
1009,20.16,296
1010,20.18,277
1011,20.2,242
1012,20.22,265
1013,20.24,264
1014,20.26,219
1015,20.28,207
1016,20.3,198
1017,20.32,163
1018,20.34,137
1019,20.36,124
1020,20.38,120
1021,20.4,90
1022,20.42,79
1023,20.44,81
1024,20.46,84
1025,20.48,89
1026,20.5,82
1027,20.52,76
1028,20.54,82
1029,20.56,72
1030,20.58,70
1031,20.6,79
1032,20.62,101
1033,20.64,90
1034,20.66,103
1035,20.68,91
1036,20.7,90
1037,20.72,78
1038,20.74,83
1039,20.76,74
1040,20.78,72
1041,20.8,77
1042,20.82,77
1043,20.84,49
1044,20.86,66
1045,20.88,53
1046,20.9,63
1047,20.92,51
1048,20.94,54
1049,20.96,40
1050,20.98,65
1051,21,62
1052,21.02,61
1053,21.04,39
1054,21.06,63
1055,21.08,53
1056,21.1,55
1057,21.12,60
1058,21.14,47
1059,21.16,68
1060,21.18,64
1061,21.2,59
1062,21.22,53
1063,21.24,60
1064,21.26,62
1065,21.28,48
1066,21.3,56
1067,21.32,61
1068,21.34,60
1069,21.36,71
1070,21.38,43
1071,21.4,63
1072,21.42,51
1073,21.44,56
1074,21.46,50
1075,21.48,64
1076,21.5,46
1077,21.52,62
1078,21.54,77
1079,21.56,66
1080,21.58,55
1081,21.6,51
1082,21.62,65
1083,21.64,65
1084,21.66,63
1085,21.68,61
1086,21.7,76
1087,21.72,69
1088,21.74,57
1089,21.76,75
1090,21.78,67
1091,21.8,91
1092,21.82,110
1093,21.84,123
1094,21.86,135
1095,21.88,124
1096,21.9,171
1097,21.92,162
1098,21.94,225
1099,21.96,214
1100,21.98,239
1101,22,237
1102,22.02,242
1103,22.04,268
1104,22.06,271
1105,22.08,303
1106,22.1,318
1107,22.12,307
1108,22.14,291
1109,22.16,286
1110,22.18,288
1111,22.2,251
1112,22.22,229
1113,22.24,231
1114,22.26,205
1115,22.28,169
1116,22.3,176
1117,22.32,124
1118,22.34,102
1119,22.36,94
1120,22.38,96
1121,22.4,87
1122,22.42,75
1123,22.44,65
1124,22.46,79
1125,22.48,56
1126,22.5,57
1127,22.52,67
1128,22.54,76
1129,22.56,54
1130,22.58,75
1131,22.6,64
1132,22.62,70
1133,22.64,94
1134,22.66,82
1135,22.68,80
1136,22.7,101
1137,22.72,94
1138,22.74,88
1139,22.76,77
1140,22.78,72
1141,22.8,85
1142,22.82,76
1143,22.84,78
1144,22.86,59
1145,22.88,77
1146,22.9,66
1147,22.92,54
1148,22.94,63
1149,22.96,70
1150,22.98,52
1151,23,44
1152,23.02,48
1153,23.04,45
1154,23.06,44
1155,23.08,57
1156,23.1,51
1157,23.12,46
1158,23.14,40
1159,23.16,57
1160,23.18,43
1161,23.2,44
1162,23.22,45
1163,23.24,36
1164,23.26,61
1165,23.28,34
1166,23.3,50
1167,23.32,49
1168,23.34,41
1169,23.36,34
1170,23.38,43
1171,23.4,39
1172,23.42,51
1173,23.44,37
1174,23.46,33
1175,23.48,37
1176,23.5,29
1177,23.52,46
1178,23.54,43
1179,23.56,49
1180,23.58,43
1181,23.6,44
1182,23.62,36
1183,23.64,48
1184,23.66,45
1185,23.68,46
1186,23.7,33
1187,23.72,40
1188,23.74,44
1189,23.76,38
1190,23.78,47
1191,23.8,43
1192,23.82,40
1193,23.84,28
1194,23.86,46
1195,23.88,44
1196,23.9,32
1197,23.92,36
1198,23.94,37
1199,23.96,39
1200,23.98,34
1201,24,53
1202,24.02,32
1203,24.04,36
1204,24.06,42
1205,24.08,54
1206,24.1,39
1207,24.12,31
1208,24.14,43
1209,24.16,42
1210,24.18,36
1211,24.2,43
1212,24.22,36
1213,24.24,37
1214,24.26,37
1215,24.28,36
1216,24.3,33
1217,24.32,40
1218,24.34,40
1219,24.36,38
1220,24.38,39
1221,24.4,32
1222,24.42,43
1223,24.44,42
1224,24.46,40
1225,24.48,36
1226,24.5,46
1227,24.52,42
1228,24.54,44
1229,24.56,35
1230,24.58,32
1231,24.6,34
1232,24.62,31
1233,24.64,48
1234,24.66,47
1235,24.68,43
1236,24.7,57
1237,24.72,53
1238,24.74,63
1239,24.76,66
1240,24.78,68
1241,24.8,78
1242,24.82,103
1243,24.84,111
1244,24.86,116
1245,24.88,134
1246,24.9,126
1247,24.92,136
1248,24.94,181
1249,24.96,183
1250,24.98,178
1251,25,179
1252,25.02,185
1253,25.04,191
1254,25.06,177
1255,25.08,202
1256,25.1,214
1257,25.12,226
1258,25.14,216
1259,25.16,208
1260,25.18,200
1261,25.2,252
1262,25.22,231
1263,25.24,207
1264,25.26,221
1265,25.28,222
1266,25.3,189
1267,25.32,179
1268,25.34,183
1269,25.36,179
1270,25.38,161
1271,25.4,139
1272,25.42,119
1273,25.44,125
1274,25.46,89
1275,25.48,76
1276,25.5,75
1277,25.52,63
1278,25.54,57
1279,25.56,56
1280,25.58,50
1281,25.6,48
1282,25.62,37
1283,25.64,48
1284,25.66,31
1285,25.68,40
1286,25.7,36
1287,25.72,31
1288,25.74,45
1289,25.76,20
1290,25.78,37
1291,25.8,39
1292,25.82,40
1293,25.84,31
1294,25.86,29
1295,25.88,45
1296,25.9,32
1297,25.92,32
1298,25.94,35
1299,25.96,33
1300,25.98,34
1301,26,32
1302,26.02,34
1303,26.04,40
1304,26.06,47
1305,26.08,43
1306,26.1,40
1307,26.12,45
1308,26.14,41
1309,26.16,45
1310,26.18,37
1311,26.2,44
1312,26.22,41
1313,26.24,31
1314,26.26,47
1315,26.28,52
1316,26.3,52
1317,26.32,52
1318,26.34,49
1319,26.36,49
1320,26.38,41
1321,26.4,56
1322,26.42,41
1323,26.44,46
1324,26.46,47
1325,26.48,30
1326,26.5,26
1327,26.52,36
1328,26.54,26
1329,26.56,37
1330,26.58,45
1331,26.6,32
1332,26.62,25
1333,26.64,27
1334,26.66,37
1335,26.68,30
1336,26.7,24
1337,26.72,33
1338,26.74,48
1339,26.76,36
1340,26.78,28
1341,26.8,27
1342,26.82,37
1343,26.84,38
1344,26.86,31
1345,26.88,29
1346,26.9,39
1347,26.92,32
1348,26.94,31
1349,26.96,31
1350,26.98,23
1351,27,22
1352,27.02,39
1353,27.04,33
1354,27.06,29
1355,27.08,32
1356,27.1,35
1357,27.12,31
1358,27.14,34
1359,27.16,32
1360,27.18,44
1361,27.2,33
1362,27.22,34
1363,27.24,37
1364,27.26,42
1365,27.28,32
1366,27.3,24
1367,27.32,38
1368,27.34,34
1369,27.36,27
1370,27.38,30
1371,27.4,34
1372,27.42,39
1373,27.44,22
1374,27.46,40
1375,27.48,31
1376,27.5,34
1377,27.52,41
1378,27.54,42
1379,27.56,39
1380,27.58,35
1381,27.6,35
1382,27.62,44
1383,27.64,34
1384,27.66,36
1385,27.68,29
1386,27.7,33
1387,27.72,49
1388,27.74,34
1389,27.76,29
1390,27.78,36
1391,27.8,35
1392,27.82,27
1393,27.84,37
1394,27.86,36
1395,27.88,26
1396,27.9,30
1397,27.92,35
1398,27.94,27
1399,27.96,29
1400,27.98,23
1401,28,45
1402,28.02,41
1403,28.04,36
1404,28.06,32
1405,28.08,37
1406,28.1,36
1407,28.12,38
1408,28.14,43
1409,28.16,35
1410,28.18,36
1411,28.2,47
1412,28.22,35
1413,28.24,58
1414,28.26,35
1415,28.28,33
1416,28.3,56
1417,28.32,45
1418,28.34,65
1419,28.36,72
1420,28.38,83
1421,28.4,65
1422,28.42,68
1423,28.44,77
1424,28.46,68
1425,28.48,66
1426,28.5,62
1427,28.52,68
1428,28.54,63
1429,28.56,60
1430,28.58,52
1431,28.6,63
1432,28.62,53
1433,28.64,42
1434,28.66,49
1435,28.68,41
1436,28.7,41
1437,28.72,37
1438,28.74,34
1439,28.76,46
1440,28.78,44
1441,28.8,27
1442,28.82,35
1443,28.84,35
1444,28.86,43
1445,28.88,43
1446,28.9,30
1447,28.92,47
1448,28.94,31
1449,28.96,37
1450,28.98,35
1451,29,37
1452,29.02,38
1453,29.04,37
1454,29.06,39
1455,29.08,45
1456,29.1,33
1457,29.12,40
1458,29.14,41
1459,29.16,36
1460,29.18,26
1461,29.2,41
1462,29.22,49
1463,29.24,30
1464,29.26,31
1465,29.28,38
1466,29.3,31
1467,29.32,30
1468,29.34,28
1469,29.36,32
1470,29.38,29
1471,29.4,28
1472,29.42,29
1473,29.44,36
1474,29.46,21
1475,29.48,34
1476,29.5,37
1477,29.52,35
1478,29.54,34
1479,29.56,39
1480,29.58,38
1481,29.6,34
1482,29.62,41
1483,29.64,50
1484,29.66,33
1485,29.68,29
1486,29.7,28
1487,29.72,33
1488,29.74,32
1489,29.76,35
1490,29.78,29
1491,29.8,42
1492,29.82,27
1493,29.84,41
1494,29.86,22
1495,29.88,32
