Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 3 Heads.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:53:55 AM
TotalElapsedTimeInSeconds,32
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
521,10.4,98
522,10.42,125
523,10.44,142
524,10.46,184
525,10.48,220
526,10.5,242
527,10.52,270
528,10.54,291
529,10.56,274
530,10.58,274
531,10.6,249
532,10.62,236
533,10.64,190
534,10.66,165
535,10.68,147
536,10.7,104
537,10.72,82
538,10.74,48
539,10.76,39
540,10.78,25
541,10.8,22
542,10.82,24
543,10.84,15
544,10.86,13
545,10.88,16
546,10.9,10
547,10.92,9
548,10.94,10
549,10.96,21
550,10.98,23
551,11,28
552,11.02,47
553,11.04,71
554,11.06,86
555,11.08,118
556,11.1,130
557,11.12,206
558,11.14,194
559,11.16,207
560,11.18,228
561,11.2,207
562,11.22,244
563,11.24,220
564,11.26,215
565,11.28,192
566,11.3,153
567,11.32,126
568,11.34,102
569,11.36,99
570,11.38,65
571,11.4,64
572,11.42,45
573,11.44,31
574,11.46,16
575,11.48,17
576,11.5,13
577,11.52,10
578,11.54,14
579,11.56,6
580,11.58,13
581,11.6,7
582,11.62,12
583,11.64,8
584,11.66,11
585,11.68,9
586,11.7,8
587,11.72,2
588,11.74,9
589,11.76,9
590,11.78,7
591,11.8,9
592,11.82,6
593,11.84,3
594,11.86,7
595,11.88,6
596,11.9,9
597,11.92,7
598,11.94,6
599,11.96,4
600,11.98,5
601,12,9
602,12.02,4
603,12.04,9
604,12.06,8
605,12.08,7
606,12.1,12
607,12.12,11
608,12.14,16
609,12.16,14
610,12.18,16
611,12.2,9
612,12.22,12
613,12.24,18
614,12.26,28
615,12.28,25
616,12.3,30
617,12.32,35
618,12.34,38
619,12.36,38
620,12.38,55
621,12.4,64
622,12.42,77
623,12.44,101
624,12.46,100
625,12.48,131
626,12.5,145
627,12.52,173
628,12.54,184
629,12.56,212
630,12.58,255
631,12.6,249
632,12.62,209
633,12.64,243
634,12.66,193
635,12.68,185
636,12.7,190
637,12.72,144
638,12.74,117
639,12.76,85
640,12.78,72
641,12.8,66
642,12.82,52
643,12.84,45
644,12.86,30
645,12.88,25
646,12.9,22
647,12.92,27
648,12.94,27
649,12.96,17
650,12.98,18
651,13,23
652,13.02,22
653,13.04,18
654,13.06,13
655,13.08,12
656,13.1,15
657,13.12,3
658,13.14,14
659,13.16,9
660,13.18,7
661,13.2,4
662,13.22,9
663,13.24,8
664,13.26,6
665,13.28,6
666,13.3,8
667,13.32,4
668,13.34,3
669,13.36,4
670,13.38,4
671,13.4,5
672,13.42,5
673,13.44,5
674,13.46,8
675,13.48,2
676,13.5,3
677,13.52,4
678,13.54,4
679,13.56,6
680,13.58,6
681,13.6,1
682,13.62,5
683,13.64,4
684,13.66,2
685,13.68,2
686,13.7,3
687,13.72,2
688,13.74,6
689,13.76,4
690,13.78,5
691,13.8,2
692,13.82,5
693,13.84,4
694,13.86,5
695,13.88,5
696,13.9,10
697,13.92,5
698,13.94,6
699,13.96,5
700,13.98,2
701,14,4
702,14.02,1
703,14.04,5
704,14.06,4
705,14.08,5
706,14.1,7
707,14.12,5
708,14.14,8
709,14.16,4
710,14.18,4
711,14.2,4
712,14.22,7
